relation,object_en,object_tr,source_taxonomy,source_category,en_token_count,en_token_ids,en_prior_mean_logprob,en_prior_robust_z,en_prior_share,tr_token_count,tr_token_ids,tr_prior_mean_logprob,tr_prior_robust_z,tr_prior_share,status,flags
field_of_study,physics,fizik,ISCED-F 2013,0533 Physics,1,6944,-5.9058822,1.257015,0.05911414,3,275|463|1873,-3.71365325,0.627081,0.03066736,pass,
field_of_study,chemistry,kimya,ISCED-F 2013,0531 Chemistry,1,8856,-6.38504887,0.989544,0.03660934,3,501|306|5488,-4.56665023,-0.308467,0.01306846,pass,
field_of_study,biology,biyoloji,ISCED-F 2013,0511 Biology,1,7505,-6.4058822,0.977915,0.03585454,4,1632|105|21758|10381,-3.61091717,0.73976,0.03398553,pass,
field_of_study,quantitative methods,matematik,ISCED-F 2013,0541 Mathematics,2,13615|2337,-5.71408272,1.364077,0.0716125,3,18357|3352|1873,-3.87831513,0.446483,0.02601145,pass,
field_of_study,statistics,istatistik,ISCED-F 2013,0542 Statistics,1,7515,-7.32254887,0.466233,0.01433643,4,43424|261|363|1873,-3.50804981,0.852582,0.03766768,pass,
field_of_study,economics,ekonomi,ISCED-F 2013,0311 Economics,1,9883,-6.51004887,0.91977,0.03230763,3,297|43776|25250,-4.08667541,0.217958,0.02111908,pass,
field_of_study,history,tarih,ISCED-F 2013,0222 History and archaeology,1,1463,-6.42671553,0.966286,0.0351153,3,252|2566|88,-3.71927929,0.62091,0.03049531,pass,
field_of_study,geography,coğrafya,ISCED-F 2013,0532 Earth sciences,1,12973,-7.80171553,0.198762,0.00887854,4,857|43702|39164|5488,-4.2736241,0.012917,0.01751798,pass,
field_of_study,philosophy,felsefe,ISCED-F 2013,0223 Philosophy and ethics,1,6360,-6.05171545,1.175611,0.05109246,3,275|13830|4565,-5.7919871,-1.65239,0.00383767,pass,
field_of_study,psychology,psikoloji,ISCED-F 2013,0313 Psychology,1,7926,-6.11421553,1.140723,0.04799692,4,15891|1873|21758|10381,-3.90526962,0.41692,0.02531969,pass,
field_of_study,social studies,sosyal,ISCED-F 2013,0314 Sociology and cultural studies,2,1329|2157,-5.28732141,1.602295,0.1097309,3,262|395|8254,-3.37530041,0.998179,0.04301512,review,en_prior_share
field_of_study,linguistics,dilbilim,ISCED-F 2013,0232 Literature and linguistics,1,25900,-7.5308822,0.349941,0.01164026,4,8601|82|301|306,-4.2971789,-0.012917,0.01711017,pass,
field_of_study,literature,edebiyat,ISCED-F 2013,0232 Literature and linguistics,1,3657,-8.2183822,-0.033821,0.00585309,4,953|2713|12771|261,-3.82322129,0.506909,0.02748474,pass,
field_of_study,archaeology,arkeoloji,ISCED-F 2013,0222 History and archaeology,1,22379,-8.3433822,-0.103596,0.00516534,4,562|396|21758|10381,-3.51998917,0.839487,0.03722062,pass,
field_of_study,anthropology,antropoloji,ISCED-F 2013,0314 Sociology and cultural studies,1,21840,-7.94754887,0.117358,0.00767374,3,1598|11352|33777,-6.56945833,-2.505103,0.00176366,pass,
field_of_study,politics,siyaset,ISCED-F 2013,0312 Political sciences and civics,1,5993,-8.4683822,-0.173371,0.00455839,3,262|12771|4747,-3.98621988,0.328136,0.02335082,pass,
field_of_study,law,hukuk,ISCED-F 2013,0421 Law,1,1525,-7.13504887,0.570895,0.01729303,3,294|3617|3617,-3.62720037,0.721901,0.03343662,pass,
field_of_study,medicine,tıp,ISCED-F 2013,0912 Medicine,1,4513,-7.48921553,0.373199,0.01213552,3,252|20335|96,-3.78816716,0.545356,0.02846528,pass,
field_of_study,nursing,hemşirelik,ISCED-F 2013,0913 Nursing and midwifery,1,11040,-9.2808822,-0.626908,0.00202277,4,8367|32647|609|7692,-4.72608646,-0.483334,0.01114249,pass,
field_of_study,pharmacy,ilaç,ISCED-F 2013,0916 Pharmacy,1,31244,-9.7183822,-0.87112,0.001306,3,216|9194|11512,-5.84938002,-1.715337,0.00362361,pass,
field_of_study,dental studies,diş,ISCED-F 2013,0911 Dental studies,2,6437|2157,-7.66951482,0.272557,0.01013341,2,801|32647,-6.2000494,-2.099944,0.00255181,pass,
field_of_study,animal care,hayvan,ISCED-F 2013,0841 Veterinary,2,3161|1176,-6.27355083,1.051783,0.04092747,2,16993|6187,-6.63252481,-2.574273,0.00165587,pass,
field_of_study,architecture,mimarlık,ISCED-F 2013,0731 Architecture and town planning,1,6277,-8.55171553,-0.219887,0.00419392,4,12112|2108|20335|91,-5.06488895,-0.854925,0.0079404,pass,
field_of_study,construction,inşaat,ISCED-F 2013,0732 Building and civil engineering,1,3901,-10.07254887,-1.068815,0.0009165,4,281|32647|81|261,-3.7189126,0.621313,0.03050649,pass,
field_of_study,mechanics,mekanik,ISCED-F 2013,0715 Mechanics and metal trades,1,12774,-8.94754887,-0.440841,0.00282301,3,549|24184|1873,-4.46281417,-0.194582,0.01449839,pass,
field_of_study,electricity,elektrik,ISCED-F 2013,0713 Electricity and energy,1,4866,-10.55171553,-1.336286,0.00056759,3,1427|22817|20598,-3.53501193,0.823011,0.03666564,pass,
field_of_study,computing,bilişim,ISCED-F 2013,0613 Software and applications development,1,7867,-8.48921553,-0.185,0.00446441,4,278|1979|32647|306,-3.30383992,1.076555,0.0462015,pass,
field_of_study,software,programlama,ISCED-F 2013,0613 Software and applications development,1,3197,-9.0933822,-0.522245,0.00243993,3,1578|4130|81,-4.41255379,-0.139458,0.01524571,pass,
field_of_study,ecology,ekoloji,ISCED-F 2013,0521 Environmental sciences,1,14269,-8.5933822,-0.243146,0.00402277,4,297|91|21758|10381,-4.19328451,0.101032,0.01898345,pass,
field_of_study,agriculture,tarım,ISCED-F 2013,0811 Crop and livestock production,1,5995,-8.5933822,-0.243146,0.00402277,3,12331|20335|93,-3.88555535,0.438542,0.02582381,pass,
field_of_study,forestry,ormanlar,ISCED-F 2013,0821 Forestry,1,23502,-10.89546553,-1.528167,0.00040248,3,355|1483|25004,-5.84490363,-1.710428,0.00363987,pass,
field_of_study,pedagogy,pedagoji,ISCED-F 2013,0111 Education science,1,28391,-9.86421553,-0.952524,0.00112878,3,7622|5515|10381,-8.3954525,-4.507814,0.00028405,review,tr_prior_z
