relation,object_en,object_tr,source_taxonomy,source_category,en_token_count,en_token_ids,en_prior_mean_logprob,en_prior_robust_z,en_prior_share,tr_token_count,tr_token_ids,tr_prior_mean_logprob,tr_prior_robust_z,tr_prior_share,status,flags
field_of_study,physics,fizik,ISCED-F 2013,0533 Physics,1,6944,-5.9058822,1.415667,0.06435076,3,275|463|1873,-3.71770263,0.612507,0.02759843,pass,
field_of_study,chemistry,kimya,ISCED-F 2013,0531 Chemistry,1,8856,-6.38504887,1.114438,0.03985238,3,501|306|5488,-4.5561293,-0.354572,0.01193329,pass,
field_of_study,biology,biyoloji,ISCED-F 2013,0511 Biology,1,7505,-6.4058822,1.101342,0.03903071,4,1632|105|21758|10381,-3.60722677,0.739935,0.03082218,pass,
field_of_study,quantitative methods,matematik,ISCED-F 2013,0541 Mathematics,2,13615|2337,-5.71408272,1.536242,0.07795629,3,18357|3352|1873,-3.87486792,0.431226,0.02358459,pass,
field_of_study,statistics,istatistik,ISCED-F 2013,0542 Statistics,1,7515,-7.32254887,0.525078,0.01560642,4,43424|261|363|1873,-3.49792814,0.866005,0.03438201,pass,
field_of_study,economics,ekonomi,ISCED-F 2013,0311 Economics,1,9883,-6.51004887,1.035857,0.0351696,3,297|43776|25250,-4.09458121,0.177799,0.0189325,pass,
field_of_study,history,tarih,ISCED-F 2013,0222 History and archaeology,1,1463,-6.42671553,1.088245,0.03822598,3,252|2566|88,-3.71089824,0.620356,0.02778686,pass,
field_of_study,geography,coğrafya,ISCED-F 2013,0532 Earth sciences,1,12973,-7.80171553,0.223849,0.00966504,4,857|43702|39164|5488,-4.27347104,-0.028541,0.01583132,pass,
field_of_study,philosophy,felsefe,ISCED-F 2013,0223 Philosophy and ethics,1,6360,-6.05171545,1.323989,0.05561848,3,275|13830|4565,-5.80437326,-1.794353,0.00342495,pass,
field_of_study,psychology,psikoloji,ISCED-F 2013,0313 Psychology,1,7926,-6.11421553,1.284698,0.05224872,4,15891|1873|21758|10381,-3.89357448,0.409649,0.0231475,pass,
